Gene_ID,RAS_61486_ctrl BR input,RAS_61487_ctrl BR IP biol rep1,RAS_61488_ctrl BR IP biol rep2,RAS_61489_icKO BR input,RAS_61490_cKO BR IP biol rep1,RAS_61491_icKO BR IP biol rep2
Xkr4,932.0,800,958,974.0,814,806
Rp1,0.0,8,1,2.0,0,4
Sox17,64.0,26,42,36.0,25,19
Mrpl15,476.0,328,425,427.0,331,325
Lypla1,478.0,225,264,421.0,173,182
Tcea1,1706.0,1267,1382,1518.0,948,886
Rgs20,808.0,339,365,842.0,275,272
Atp6v1h,2430.0,1229,1406,2070.0,1050,1007
Oprk1,182.0,77,97,179.0,108,119
Npbwr1,14.0,2,4,15.0,7,1
Rb1cc1,3237.0,3244,3862,3080.0,3359,3176
Fam150a,1.0,2,0,3.0,0,0
St18,270.0,1094,1280,246.0,772,756
Pcmtd1,2355.0,1872,2080,2112.0,1743,1485
Sntg1,818.0,814,875,687.0,757,787
Rrs1,623.0,625,772,530.0,545,584
Adhfe1,187.0,153,167,176.0,142,199
2610203C22Rik,3.0,8,3,4.0,9,8
3110035E14Rik,5981.0,6307,7132,5621.0,4745,4498
Mybl1,102.0,148,195,115.0,136,132
Vcpip1,2221.0,1528,1931,2235.0,1389,1314
1700034P13Rik,23.0,18,10,16.0,16,11
Sgk3,396.0,733,906,321.0,833,731
Mcmdc2,21.0,39,60,19.0,88,54
Snhg6,114.0,80,77,87.0,72,57
Snord87,0.0,0,0,0.0,0,0
Tcf24,2.0,6,1,2.0,10,7
Ppp1r42,12.0,10,9,11.0,21,13
Cops5,1027.0,1002,1036,1001.0,769,689
Cspp1,542.0,1299,1510,537.0,1744,1674
Arfgef1,3337.0,3695,4291,3009.0,3536,3364
Cpa6,4.0,7,6,14.0,9,13
Mir467e,0.0,1,0,0.0,0,0
Prex2,2704.0,2013,2210,2387.0,2124,2000
A830018L16Rik,1988.0,604,701,1494.0,616,641
Mir6341,0.0,0,0,0.0,0,0
Gm17644,0.0,0,0,0.0,0,0
Sulf1,717.0,1010,1204,757.0,871,928
Slco5a1,97.0,153,193,139.0,204,182
Prdm14,0.0,0,0,0.0,0,1
Ncoa2,4047.0,4604,5321,3936.0,4326,3933
Tram1,577.0,686,791,540.0,492,461
Lactb2,276.0,313,330,184.0,286,288
Xkr9,1.0,0,0,1.0,0,0
Gm5523,0.0,0,0,0.0,0,2
Eya1,191.0,707,899,213.0,486,478
Msc,11.0,17,12,30.0,9,11
Trpa1,4.0,1,2,3.0,2,0
Kcnb2,700.0,463,370,575.0,452,427
Terf1,197.0,412,408,180.0,414,439
Sbspon,2.0,16,19,2.0,7,10
4930444P10Rik,5.0,16,35,12.0,22,15
Rpl7,4380.0,3058,3628,3576.0,2147,2056
Rdh10,154.0,193,222,122.0,168,162
Stau2,2250.0,837,973,2095.0,872,800
Ube2w,726.0,356,387,693.0,333,353
Tceb1,522.0,222,254,482.0,179,193
D030040B21Rik,0.0,0,0,0.0,1,0
Tmem70,577.0,259,260,553.0,180,189
Ly96,4.0,7,6,7.0,15,3
Jph1,632.0,499,522,567.0,463,410
Gdap1,1712.0,891,1092,1772.0,987,890
Pi15,0.0,2,6,5.0,1,3
Gm16070,5.0,8,15,9.0,25,8
Crispld1,157.0,128,129,165.0,146,114
Crisp4,0.0,0,0,0.0,0,0
Defb44-ps,0.0,0,0,0.0,0,0
Defb18,0.0,0,0,0.0,0,0
Defb41,0.0,0,0,0.0,0,0
Gm15386,0.0,0,0,0.0,0,1
Tfap2d,38.0,8,9,39.0,9,20
Tfap2b,29.0,16,16,34.0,19,13
Pkhd1,2.0,1,7,2.0,8,14
4930486I03Rik,1.0,0,0,1.0,0,0
Linc-md1,0.0,0,1,0.0,0,0
Mir206,0.0,0,0,0.0,0,0
Mir133b,0.0,0,0,0.0,0,0
Il17a,0.0,0,0,0.0,0,0
Il17f,0.0,2,0,0.0,0,0
Mcm3,89.0,399,495,77.0,385,349
6720483E21Rik,0.0,2,15,5.0,14,11
Paqr8,1991.0,1279,1593,2053.0,1091,1021
Efhc1,32.0,28,47,35.0,44,23
Tram2,6.0,35,42,5.0,12,21
Tmem14a,228.0,129,101,218.0,84,90
Gsta3,17.0,29,30,21.0,54,36
Gm4956,0.0,0,1,0.0,0,0
Khdc1a,0.0,0,1,0.0,0,0
Khdc1c,0.0,0,0,0.0,0,0
Khdc1b,0.0,0,0,0.0,0,0
Kcnq5,2789.0,1138,1261,2587.0,1198,1148
Rims1,9669.0,5110,6045,9419.0,5592,5553
4933415F23Rik,0.0,0,0,0.0,0,0
Mir30a,0.0,0,3,0.0,1,0
Mir30c-2,4.0,20,5,4.0,10,22
Ogfrl1,2993.0,843,988,2833.0,922,862
B3gat2,232.0,991,1116,212.0,594,592
Smap1,1910.0,1466,1846,1953.0,1273,1309
Sdhaf4,153.0,72,77,129.0,41,43
Fam135a,727.0,1084,1242,710.0,1220,1204
Col9a1,13.0,48,45,10.0,41,44
Col19a1,514.0,621,741,492.0,820,832
Lmbrd1,2675.0,2737,3099,2480.0,1939,1968
Adgrb3,2967.0,2507,3022,2563.0,2967,2867
Gm20172,9.0,34,43,12.0,58,75
4931408C20Rik,0.0,0,0,0.0,0,0
Gm597,0.0,0,0,0.0,0,0
Mir6342,0.0,0,0,0.0,0,0
Phf3,3129.0,4573,5183,2968.0,4330,3903
Ptp4a1,98.0,203,200,102.0,118,108
Gm13363,0.0,0,0,0.0,0,0
4931428L18Rik,0.0,0,0,0.0,0,0
Lgsn,0.0,0,0,0.0,0,0
Pih1d3,0.0,0,0,0.0,0,0
Gm4850,0.0,0,0,0.0,0,0
Khdrbs2,305.0,516,565,252.0,519,455
Gm9839,0.0,2,2,0.0,1,0
Gm5415,0.0,1,0,0.0,0,0
Prim2,186.0,318,363,164.0,272,283
1700001G17Rik,7.0,2,2,9.0,0,7
Rab23,597.0,778,864,477.0,640,572
Bag2,190.0,102,106,163.0,74,65
Zfp451,1198.0,1610,1860,1145.0,1682,1642
Gm15455,0.0,1,6,5.0,6,7
Bend6,2799.0,846,836,2866.0,746,732
Dst,14392.0,108234,120921,14057.0,170472,166405
Mir6896,0.0,0,1,1.0,0,4
Mir5103,5.0,3,2,3.0,3,0
Ccdc115,261.0,202,271,197.0,174,129
Imp4,294.0,355,476,267.0,278,248
Ptpn18,52.0,10,18,38.0,17,11
Prss39,0.0,0,0,0.0,0,0
Cfc1,0.0,0,0,0.0,0,0
Prss40,0.0,0,0,0.0,0,0
Amer3,793.0,347,294,780.0,335,291
AA619741,0.0,0,0,0.0,0,0
Arhgef4,3857.0,1289,1539,3436.0,1417,1305
Fam168b,4641.0,3178,3628,4437.0,2214,2144
Plekhb2,4263.0,2163,2561,4134.0,1644,1572
Hs6st1,1396.0,911,1057,1307.0,659,626
Uggt1,1903.0,2809,3344,1874.0,2912,2716
Mir6897,1.0,1,0,0.0,0,2
Neurl3,18.0,7,11,5.0,11,5
Arid5a,141.0,262,309,213.0,222,209
Kansl3,1924.0,2311,2738,1756.0,2332,2190
Mir6898,0.0,0,0,0.0,0,0
Fer1l5,2.0,7,6,5.0,11,4
Lman2l,417.0,397,447,415.0,415,330
Cnnm4,305.0,283,303,370.0,217,212
Cnnm3,579.0,968,1089,598.0,844,656
Ankrd23,37.0,57,58,28.0,76,68
Ankrd39,104.0,99,82,82.0,87,95
Sema4c,393.0,663,878,311.0,570,594
Fam178b,2.0,6,6,3.0,0,4
Cox5b,4292.0,1616,2045,4003.0,976,1082
Actr1b,4026.0,1739,1956,4180.0,1412,1493
4933424G06Rik,6.0,13,7,7.0,5,2
Zap70,20.0,10,12,29.0,25,14
Tmem131,2088.0,2979,3383,2170.0,2874,2799
Cnga3,17.0,0,0,8.0,4,3
Inpp4a,6873.0,3802,4215,6494.0,4046,4096
Coa5,1220.0,587,646,1165.0,467,432
Unc50,558.0,635,729,472.0,461,425
Mgat4a,877.0,638,813,757.0,708,635
4930594C11Rik,28.0,111,167,40.0,199,170
2010300C02Rik,12588.0,3753,4190,11256.0,3785,3772
Tsga10,266.0,448,463,289.0,563,619
Lipt1,71.0,42,48,48.0,34,45
Mitd1,71.0,88,75,61.0,86,111
Mrpl30,732.0,290,347,635.0,188,235
Lyg2,0.0,0,0,0.0,2,0
Lyg1,0.0,0,1,0.0,0,0
Txndc9,800.0,749,900,550.0,557,577
Eif5b,2702.0,3169,3488,2527.0,2845,2835
Rev1,1035.0,1416,1367,910.0,1498,1576
Aff3,2657.0,1567,1816,2605.0,1745,1735
Lonrf2,4112.0,2314,2573,4154.0,2324,2223
Chst10,1585.0,664,752,1326.0,653,629
Nms,2.0,0,2,2.0,0,1
Pdcl3,270.0,315,368,250.0,262,240
Mir6349,0.0,0,0,0.0,0,0
Npas2,1676.0,733,838,1561.0,916,858
Rpl31,3039.0,1514,1902,2573.0,1198,1264
Tbc1d8,1066.0,937,1009,979.0,1055,1007
Cnot11,805.0,572,731,696.0,496,539
Snord89,1.0,8,17,3.0,6,3
Rnf149,705.0,580,767,723.0,579,537
Creg2,3589.0,2459,2824,3395.0,1454,1459
Rfx8,2.0,1,3,3.0,4,0
Gm3646,0.0,0,0,0.0,0,0
1700066B17Rik,0.0,0,0,0.0,0,0
Map4k4,4182.0,22262,26198,3898.0,16358,15942
Gm16894,58.0,93,55,80.0,66,78
Il1r2,4.0,0,5,4.0,2,1
Il1r1,109.0,140,168,93.0,96,92
Il1rl2,6.0,14,18,8.0,24,13
Il1rl1,1.0,0,1,8.0,10,4
Il18r1,0.0,0,3,0.0,0,0
Il18rap,6.0,2,0,0.0,0,4
Slc9a4,5.0,0,7,10.0,7,7
Slc9a2,132.0,58,119,122.0,92,118
Mfsd9,99.0,76,82,100.0,51,58
Tmem182,0.0,2,0,1.0,2,2
4930448I06Rik,0.0,1,0,0.0,0,0
Pantr1,342.0,167,186,330.0,126,84
Pou3f3,1831.0,2466,3009,1856.0,1999,1990
2900092D14Rik,256.0,252,314,246.0,221,221
Pantr2,14.0,13,37,8.0,30,29
Dalir,56.0,34,29,33.0,30,37
Mrps9,614.0,513,658,550.0,520,581
Gpr45,189.0,93,117,134.0,96,99
Tgfbrap1,1231.0,1700,2255,1178.0,1413,1540
AI597479,541.0,570,728,514.0,455,380
Fhl2,855.0,286,370,738.0,270,323
Nck2,810.0,693,784,820.0,532,487
1500015O10Rik,58.0,2,8,74.0,6,4
Uxs1,963.0,571,718,852.0,544,545
Tpp2,1498.0,1556,1894,1359.0,1848,1713
Mettl21c,3.0,4,4,2.0,0,1
Tex30,41.0,38,52,46.0,35,36
Kdelc1,92.0,262,277,73.0,251,260
Bivm,319.0,429,433,252.0,374,351
Ercc5,701.0,1124,1273,657.0,1163,1052
Mettl21e,0.0,0,0,0.0,0,0
Gulp1,89.0,54,62,72.0,56,60
4930521E06Rik,0.0,0,0,0.0,0,0
Col3a1,60.0,123,132,71.0,80,109
Col5a2,54.0,137,119,61.0,160,102
Wdr75,477.0,580,622,439.0,589,612
Slc40a1,87.0,52,69,86.0,84,77
Stk-ps2,0.0,0,0,0.0,0,0
Dnah7b,136.0,370,390,184.0,501,494
Slc39a10,3653.0,1289,1507,3405.0,1343,1225
Mir6350,0.0,0,0,0.0,0,0
Tmeff2,1235.0,3644,4201,1262.0,2312,2184
9330175M20Rik,6.0,3,1,9.0,6,6
Sdpr,206.0,162,175,172.0,105,114
Nabp1,212.0,119,102,181.0,116,111
Myo1b,1315.0,2116,2479,1139.0,1985,1802
Stat4,60.0,22,26,40.0,15,21
Stat1,522.0,1211,1522,484.0,957,896
Gls,4917.0,2766,3296,5221.0,3597,3408
Nab1,984.0,956,1019,874.0,728,677
Tmem194b,52.0,167,180,37.0,195,178
Mfsd6,2747.0,2163,2405,2727.0,1696,1585
Inpp1,267.0,277,224,288.0,242,224
Hibch,338.0,370,428,295.0,280,256
1700019D03Rik,126.0,96,116,128.0,56,65
Mstn,0.0,1,0,1.0,0,1
1700019A02Rik,2.0,12,10,4.0,17,8
Pms1,335.0,315,428,226.0,340,269
Ormdl1,96.0,114,126,58.0,102,100
Osgepl1,174.0,225,254,202.0,240,221
Asnsd1,342.0,307,351,296.0,257,217
Dnah7a,26.0,26,31,37.0,41,44
Stk17b,130.0,97,136,124.0,96,113
Hecw2,2253.0,2615,3002,2366.0,2739,2592
Mir7681,0.0,0,0,0.0,0,0
Ccdc150,7.0,9,6,2.0,14,18
Gtf3c3,702.0,785,962,548.0,807,827
Pgap1,763.0,1102,1207,697.0,1154,993
Ankrd44,284.0,1018,1238,221.0,907,824
Sf3b1,4203.0,7199,8301,3872.0,7978,7598
Coq10b,319.0,248,240,324.0,219,210
Hspd1,2280.0,2061,2458,1996.0,1759,1584
Hspe1,1019.0,722,789,925.0,466,443
Mob4,709.0,453,487,576.0,388,311
Rftn2,635.0,1613,1759,596.0,882,895
Mars2,270.0,245,265,216.0,208,202
Boll,0.0,3,10,5.0,1,3
Plcl1,1470.0,4711,5333,1394.0,2804,2517
9130227L01Rik,13.0,4,4,3.0,5,1
1700003I22Rik,0.0,0,0,0.0,0,0
Hsfy2,0.0,0,0,0.0,0,0
Satb2,2137.0,813,905,1902.0,752,767
9130024F11Rik,331.0,145,163,356.0,186,169
BC055402,0.0,4,3,4.0,7,6
4930558J18Rik,0.0,3,3,0.0,3,4
1700066M21Rik,477.0,701,862,409.0,479,316
Tyw5,130.0,158,198,122.0,142,191
9430016H08Rik,271.0,186,253,196.0,180,137
Spats2l,711.0,779,1032,770.0,768,641
Kctd18,168.0,366,442,138.0,362,344
Sgol2a,41.0,97,82,40.0,103,111
Aox1,78.0,228,303,141.0,392,318
Aox3,52.0,53,42,53.0,58,63
Aox4,45.0,37,46,43.0,63,50
Aox2,0.0,0,2,3.0,5,8
Bzw1,3177.0,2948,3586,2592.0,2170,2077
Clk1,938.0,2386,2831,845.0,3701,3393
Ppil3,243.0,185,196,222.0,181,130
Nif3l1,279.0,295,316,274.0,214,180
Orc2,638.0,928,1070,662.0,809,814
Fam126b,2244.0,1306,1545,2283.0,1416,1338
Ndufb3,500.0,247,289,445.0,125,162
Gm20257,13.0,12,15,11.0,16,8
Als2cr12,4.0,1,2,8.0,0,1
Cflar,425.0,441,508,395.0,336,324
Casp8,76.0,68,82,35.0,64,62
Trak2,4366.0,5264,6375,4249.0,4754,4415
Stradb,631.0,399,440,523.0,358,353
Als2cr11,1.0,4,2,3.0,0,3
Tmem237,509.0,418,508,448.0,364,328
Mpp4,14.0,12,28,11.0,40,55
Als2,1191.0,1702,1814,1220.0,1499,1476
Cdk15,7.0,9,4,5.0,1,3
Fzd7,236.0,180,352,205.0,132,141
Gm973,247.0,159,188,245.0,172,207
Sumo1,1174.0,592,731,1072.0,393,349
Nop58,584.0,714,833,606.0,674,563
Snord70,0.0,1,7,1.0,1,1
Snord11,1.0,3,1,0.0,7,2
Bmpr2,6521.0,5475,6405,6119.0,4355,4179
Fam117b,2075.0,1728,2154,1972.0,1292,1265
Ica1l,927.0,470,532,975.0,417,449
Wdr12,637.0,404,479,604.0,393,401
Carf,589.0,499,577,523.0,544,512
Nbeal1,669.0,1481,1829,675.0,2062,1863
Cyp20a1,173.0,515,611,137.0,379,364
Abi2,5952.0,4000,4533,5599.0,3409,3117
Raph1,1300.0,1527,1827,1372.0,1837,1709
Cd28,2.0,2,2,4.0,1,3
Ctla4,0.0,1,0,2.0,0,0
Icos,3.0,2,0,0.0,1,0
9530026F06Rik,0.0,0,0,0.0,0,0
Pard3b,148.0,271,304,135.0,189,190
Nrp2,1489.0,1278,1515,1379.0,1164,1181
4930487H11Rik,0.0,0,0,2.0,2,1
Ino80d,1391.0,1915,2116,1280.0,1935,1871
Ino80dos,64.0,85,103,71.0,89,71
Ndufs1,2808.0,1893,2118,2526.0,1820,1772
Eef1b2,2805.0,1562,1645,2442.0,1013,1033
Snora41,1.0,3,1,2.0,5,1
Gpr1,6.0,1,5,2.0,0,8
Zdbf2,1315.0,883,1083,1259.0,1324,1290
Adam23,6536.0,3892,4402,6631.0,3598,3531
Dytn,0.0,5,4,1.0,2,5
Mdh1b,15.0,12,13,23.0,17,11
Fastkd2,239.0,252,278,260.0,278,243
4933402D24Rik,4.0,3,2,11.0,0,1
Gm13749,5.0,3,1,10.0,5,5
Mir1958,0.0,2,4,0.0,1,0
Klf7,382.0,380,423,316.0,351,348
Mir6899,0.0,0,2,0.0,1,1
Creb1,1204.0,1246,1413,1153.0,1098,978
Mettl21a,145.0,160,167,141.0,145,131
2810408I11Rik,7.0,2,6,4.0,3,0
Ccnyl1,381.0,759,920,416.0,607,563
Fzd5,81.0,129,135,85.0,90,70
Plekhm3,1281.0,1214,1457,1315.0,1169,1107
Akr1cl,0.0,0,4,0.0,0,0
Cryge,0.0,0,0,0.0,0,0
Crygd,0.0,0,4,0.0,0,0
Crygc,0.0,0,0,0.0,0,0
Crygb,0.0,0,0,0.0,0,0
Cryga,4.0,0,8,2.0,3,1
D630023F18Rik,91.0,27,44,64.0,41,27
Idh1,674.0,1936,2266,695.0,1411,1488
Pikfyve,1761.0,2705,3137,1704.0,2632,2532
Pth2r,27.0,21,22,20.0,21,24
Crygf,0.0,0,0,0.0,0,0
Map2,16751.0,10602,12003,16111.0,11061,10573
Unc80,11916.0,12403,13835,11114.0,15913,15460
Rpe,378.0,500,557,285.0,532,426
Kansl1l,427.0,431,540,333.0,418,377
Acadl,619.0,825,921,625.0,657,641
Myl1,4.0,4,12,5.0,12,16
Lancl1,3434.0,1632,1789,2857.0,1350,1250
Cps1,7.0,4,3,7.0,8,2
Erbb4,1487.0,3296,3718,1411.0,2975,2645
Ikzf2,83.0,303,324,94.0,274,292
Spag16,37.0,24,20,36.0,25,17
Vwc2l,119.0,39,41,134.0,51,50
Bard1,16.0,69,47,19.0,42,51
Abca12,1.0,2,5,2.0,3,1
Atic,410.0,700,767,394.0,559,546
Fn1,1137.0,1075,1299,903.0,995,1098
Apol7d,4.0,0,0,0.0,1,0
Gm8883,0.0,0,0,0.0,0,0
4933417E11Rik,0.0,0,2,0.0,1,0
Mreg,146.0,70,94,128.0,57,55
Pecr,55.0,88,96,54.0,82,90
Tmem169,424.0,263,289,388.0,252,212
Xrcc5,341.0,428,435,340.0,437,379
04-Mar,692.0,215,245,672.0,243,224
Smarcal1,1964.0,1259,1417,2045.0,1285,1210
Ankar,0.0,0,0,0.0,0,0
Rpl37a,1241.0,587,668,1174.0,412,411
Igfbp2,638.0,127,122,730.0,121,100
Igfbp5,3701.0,1734,1975,3697.0,1093,1073
Tnp1,0.0,0,0,0.0,0,0
1700027A15Rik,0.0,0,1,0.0,0,0
Pinc,0.0,0,0,0.0,1,1
D530049I02Rik,0.0,0,0,0.0,0,0
6030407O03Rik,8.0,65,59,6.0,36,24
Mir6351,3.0,3,4,0.0,4,3
Tns1,1089.0,3448,4023,1107.0,2446,2455
Rufy4,0.0,0,0,2.0,3,0
Cxcr2,6.0,0,0,1.0,3,0
Cxcr1,0.0,1,0,0.0,0,0
Mir1928,0.0,0,0,0.0,0,0
Arpc2,3011.0,1535,1838,2892.0,1253,1242
Gpbar1,0.0,0,0,0.0,0,0
Aamp,2668.0,2655,3086,2756.0,1815,1788
Pnkd,2950.0,1255,1558,2586.0,904,947
Tmbim1,381.0,1647,1987,370.0,867,890
Catip,31.0,10,41,14.0,27,28
Slc11a1,46.0,24,23,36.0,37,19
Ctdsp1,507.0,884,1061,443.0,548,512
Mir26b,1.0,1,2,0.0,3,0
Vil1,6.0,2,11,5.0,4,1
Usp37,690.0,1081,1209,505.0,1236,1141
Rqcd1,510.0,425,589,410.0,370,382
Plcd4,267.0,188,239,267.0,308,332
Zfp142,1046.0,1282,1518,1008.0,1252,1305
Bcs1l,187.0,182,214,156.0,210,150
Rnf25,512.0,428,484,428.0,428,462
Stk36,77.0,152,152,92.0,129,174
Ttll4,295.0,611,633,279.0,739,684
Cyp27a1,53.0,183,261,78.0,201,162
Prkag3,3.0,1,3,0.0,0,1
Wnt6,31.0,5,6,32.0,7,10
Wnt10a,166.0,70,70,146.0,45,54
Cdk5r2,7925.0,1465,1764,8391.0,1356,1518
Fev,0.0,0,0,0.0,0,1
Cryba2,8.0,1,1,2.0,0,1
Mir375,0.0,0,0,1.0,0,0
Ccdc108,74.0,81,82,67.0,130,140
Ihh,2.0,4,0,10.0,4,3
Nhej1,24.0,25,45,25.0,22,19
Slc23a3,2.0,0,6,2.0,5,1
Cnppd1,362.0,658,712,312.0,517,492
Fam134a,2926.0,1856,2118,2936.0,1216,1242
Zfand2b,267.0,187,213,259.0,184,167
Abcb6,275.0,259,294,242.0,260,217
Atg9a,2784.0,1930,2242,2486.0,1409,1364
Ankzf1,309.0,410,478,213.0,517,519
Glb1l,94.0,116,153,86.0,185,142
Stk16,646.0,572,631,718.0,452,514
Tuba4a,8402.0,1384,1677,8830.0,1201,1139
A630095N17Rik,0.0,0,0,0.0,0,0
Dnajb2,1401.0,2834,3394,1258.0,1718,1625
Ptprn,12016.0,4455,5087,12260.0,4271,4119
Resp18,746.0,138,150,666.0,128,92
Dnpep,655.0,562,699,516.0,429,424
Des,15.0,257,290,15.0,134,138
Gm15179,0.0,0,0,1.0,0,2
Speg,4071.0,3448,3669,3939.0,4547,4437
Gmppa,283.0,328,344,329.0,277,262
Asic4,619.0,739,826,563.0,521,490
Chpf,1401.0,897,952,1318.0,676,640
Tmem198,839.0,242,349,890.0,195,215
Obsl1,254.0,560,617,311.0,560,562
Inha,195.0,136,203,153.0,217,205
Stk11ip,677.0,624,721,621.0,565,534
Slc4a3,3829.0,2242,2498,3809.0,2517,2470
Gm17751,0.0,2,3,3.0,0,0
Mir6343,0.0,0,0,0.0,0,0
Epha4,4814.0,2365,2778,4849.0,2294,2260
Mir6352,15.0,18,15,5.0,25,25
Pax3,0.0,0,7,0.0,0,1
Sgpp2,444.0,100,78,456.0,87,96
Farsb,736.0,703,802,590.0,708,618
Mogat1,18.0,1,4,31.0,2,11
Acsl3,3602.0,4800,5525,3506.0,3759,3429
Utp14b,557.0,1519,1757,573.0,1712,1879
Kcne4,24.0,226,278,23.0,148,129
Scg2,5217.0,903,980,5727.0,791,762
Ap1s3,49.0,15,8,38.0,15,18
Wdfy1,613.0,493,632,538.0,561,590
Mrpl44,346.0,189,247,321.0,149,162
Serpine2,2916.0,7307,8851,2865.0,6292,5845
Fam124b,2.0,0,0,1.0,0,0
Cul3,3286.0,2736,3034,3056.0,2392,2237
1700016L21Rik,0.0,0,0,0.0,0,0
Dock10,1431.0,7503,8597,1355.0,6315,6169
Nyap2,869.0,480,635,777.0,605,533
Mir6344,0.0,0,0,0.0,0,0
Irs1,640.0,1509,1769,761.0,1364,1436
Rhbdd1,86.0,169,222,74.0,103,127
Col4a4,11.0,84,112,20.0,58,52
Col4a3,16.0,114,138,9.0,90,72
Mff,3441.0,1860,2108,2847.0,1336,1393
Tm4sf20,0.0,0,0,0.0,0,0
Agfg1,1445.0,1687,1948,1309.0,1535,1545
Slc19a3,30.0,15,18,25.0,25,15
Ccl20,0.0,0,0,0.0,0,0
Daw1,2.0,4,11,2.0,2,8
Sphkap,2942.0,2381,2602,2482.0,2608,2335
Pid1,751.0,1838,2105,594.0,1111,1147
Mir6353,5.0,2,18,0.0,9,4
Dner,2874.0,2396,2777,2743.0,2014,1837
Mir5126,0.0,0,2,4.0,5,3
Trip12,4637.0,7893,9036,4464.0,7773,7605
Fbxo36,31.0,76,81,39.0,35,48
Slc16a14,159.0,97,131,118.0,95,114
A530032D15Rik,1.0,0,2,0.0,0,0
Gm7609,0.0,0,0,0.0,0,0
C130026I21Rik,0.0,0,0,0.0,1,0
Sp110,34.0,29,43,38.0,29,29
Sp140,18.0,13,17,12.0,21,30
Sp100,52.0,54,46,38.0,21,57
A630001G21Rik,11.0,16,28,11.0,39,40
Mir8096,0.0,0,0,0.0,0,0
9930111H07Rik,0.0,2,0,0.0,0,0
Cab39,4591.0,3380,3825,4003.0,2368,2223
Itm2c,9088.0,4554,5066,8516.0,3136,3175
4933407L21Rik,35.0,28,48,37.0,40,48
Gpr55,0.0,2,3,4.0,2,4
Spata3,1.0,0,7,2.0,6,4
2810459M11Rik,219.0,283,377,220.0,248,227
Psmd1,3383.0,2654,3249,3122.0,2507,2287
Htr2b,0.0,0,3,0.0,2,4
Armc9,682.0,564,636,535.0,679,701
B3gnt7,12.0,248,301,24.0,193,129
Ncl,9484.0,9791,11349,8147.0,7357,7068
Snora75,1.0,11,18,0.0,11,15
Gm24148,2.0,13,14,1.0,19,8
Snord82,0.0,0,1,0.0,0,1
C130036L24Rik,53.0,20,19,37.0,9,19
Nmur1,1.0,1,2,0.0,0,2
1700019O17Rik,0.0,1,1,0.0,0,0
Ptma,4929.0,10851,13018,4869.0,5420,5143
Pde6d,350.0,502,595,414.0,276,266
Cops7b,317.0,230,311,294.0,238,239
Nppc,64.0,10,19,47.0,13,10
Dis3l2,691.0,774,976,666.0,745,765
Alppl2,0.0,0,0,0.0,0,0
Alpi,0.0,0,0,0.0,0,1
Akp3,0.0,0,0,0.0,0,0
Ecel1,535.0,62,88,529.0,87,104
Prss56,19.0,2,4,15.0,0,1
Chrnd,0.0,0,0,0.0,0,0
Chrng,0.0,0,2,0.0,1,0
Eif4e2,1146.0,866,1130,1047.0,729,731
Efhd1,288.0,1376,1610,362.0,576,580
Gigyf2,2758.0,2970,3303,2844.0,3144,2992
Kcnj13,51.0,13,18,55.0,17,12
3110079O15Rik,0.0,4,0,6.0,2,2
Ngef,9769.0,2420,2893,9436.0,2443,2545
Neu2,92.0,16,31,51.0,18,19
Inpp5d,428.0,252,264,402.0,339,282
Atg16l1,1169.0,952,1036,1125.0,1051,1086
Scarna6,94.0,47,37,50.0,35,36
Sag,34.0,22,19,41.0,23,17
Dgkd,2182.0,2153,2312,2197.0,2225,2070
Usp40,421.0,1245,1276,392.0,1209,1187
Ugt1a10,0.0,0,0,0.0,0,0
Ugt1a9,0.0,0,0,0.0,0,0
Ugt1a7c,13.0,1,5,9.0,1,4
Ugt1a6b,0.0,1,0,0.0,1,4
Ugt1a6a,9.0,2,2,9.0,0,4
Ugt1a5,0.0,0,0,0.0,0,0
Ugt1a2,0.0,2,0,2.0,3,0
Dnajb3,14.0,16,29,22.0,16,8
Ugt1a1,0.0,3,0,0.0,1,3
Mroh2a,0.0,1,5,2.0,1,1
Hjurp,115.0,185,184,93.0,220,185
6430706D22Rik,0.0,0,0,0.0,0,0
A730008H23Rik,0.0,0,0,0.0,0,0
Trpm8,2.0,0,1,1.0,7,0
Spp2,4.0,0,0,7.0,0,0
Glrp1,5.0,4,11,4.0,5,9
Gm19589,0.0,0,2,0.0,0,0
Arl4c,964.0,522,557,876.0,366,404
Platr5,0.0,0,0,0.0,0,0
1700067G17Rik,0.0,0,0,0.0,0,0
Sh3bp4,480.0,5841,6721,441.0,3967,3743
C030007H22Rik,2.0,3,0,0.0,0,0
Agap1,5322.0,12864,14926,5050.0,8660,8445
4933400F21Rik,1.0,4,11,0.0,6,2
Gbx2,44.0,11,7,79.0,9,13
Asb18,6.0,17,20,9.0,5,20
Iqca,24.0,9,10,19.0,11,9
Ackr3,93.0,647,612,83.0,361,320
Cops8,1248.0,824,864,1187.0,648,617
Col6a3,134.0,181,204,128.0,217,185
Mlph,47.0,49,70,51.0,82,78
Prlh,0.0,0,0,0.0,0,0
Rab17,0.0,2,0,0.0,0,0
Lrrfip1,1465.0,1891,2189,1318.0,1991,2001
Rbm44,0.0,6,5,2.0,2,4
Ramp1,1339.0,1163,1326,1348.0,747,717
Ube2f,446.0,277,292,375.0,243,231
Scly,346.0,343,410,272.0,291,265
Espnl,9.0,5,3,6.0,4,3
Klhl30,2.0,1,4,10.0,1,3
Fam132b,10.0,6,7,20.0,5,1
Ilkap,793.0,788,925,765.0,679,655
