Gene_ID,RAS_61486_ctrl BR input,RAS_61487_ctrl BR IP biol rep1,RAS_61488_ctrl BR IP biol rep2,RAS_61489_icKO BR input,RAS_61490_cKO BR IP biol rep1,RAS_61491_icKO BR IP biol rep2
Slc10a7,90.0,133,180,85.0,137,143
Lsm6,719.0,742,795,557.0,511,424
Zfp827,2402.0,2369,2655,2210.0,2220,2052
1700011L22Rik,0.0,2,2,0.0,2,0
Mmaa,284.0,421,543,253.0,496,451
Gm4890,11.0,12,15,8.0,9,18
Smad1,734.0,761,928,724.0,734,691
Otud4,1503.0,2142,2228,1397.0,2232,1932
Abce1,1699.0,1536,1841,1553.0,1402,1315
Anapc10,147.0,208,231,133.0,137,157
Hhip,358.0,2221,2539,355.0,1594,1458
Gypa,10.0,2,1,1.0,0,1
Frem3,47.0,4,4,62.0,9,20
Smarca5,2375.0,3403,3836,1999.0,2639,2727
Gab1,937.0,6803,7865,890.0,4328,3999
Usp38,645.0,934,1152,639.0,926,927
Inpp4b,346.0,914,1013,416.0,746,589
Il15,20.0,30,37,16.0,19,14
Zfp330,462.0,361,471,394.0,406,371
Rnf150,2563.0,960,1129,2388.0,1086,1111
Tbc1d9,2878.0,1466,1600,3071.0,1579,1460
Ucp1,0.0,1,1,1.0,2,3
Elmod2,276.0,339,433,231.0,347,301
Mgat4d,0.0,0,0,0.0,0,0
Clgn,269.0,673,781,235.0,720,717
Scoc,1473.0,478,630,1325.0,351,384
Olfr370,0.0,0,2,0.0,0,0
Ndufb7,1130.0,701,824,1055.0,429,362
Tecr,2963.0,2363,2813,2891.0,1691,1679
Dnajb1,1186.0,748,872,999.0,579,651
Gipc1,855.0,1037,1281,824.0,778,653
Ptger1,10.0,14,28,23.0,31,34
Pkn1,1092.0,1774,2086,968.0,1470,1464
Ddx39,231.0,220,267,205.0,228,219
Adgre5,126.0,400,498,85.0,252,266
Mir1668,0.0,0,0,0.0,0,0
Adgrl1,17099.0,8627,10252,17220.0,8452,8629
Asf1b,6.0,15,33,7.0,20,16
Prkaca,4439.0,2224,2518,4546.0,1577,1553
Samd1,800.0,1328,1502,700.0,845,860
1700067K01Rik,9.0,6,1,6.0,8,4
Mir8111,2.0,0,0,0.0,0,0
2210011C24Rik,5.0,100,94,13.0,38,52
Mir1199,0.0,0,0,0.0,0,0
Palm3,67.0,17,28,49.0,26,20
Il27ra,9.0,6,9,2.0,2,10
Rln3,0.0,0,0,0.0,0,0
Rfx1,512.0,617,718,430.0,651,675
Mir709,11.0,11,14,6.0,11,10
Dcaf15,227.0,276,380,179.0,235,236
Podnl1,0.0,0,2,7.0,1,0
Cc2d1a,1095.0,731,842,990.0,653,734
4930432K21Rik,127.0,69,86,108.0,49,46
Nanos3,13.0,14,26,6.0,10,10
Mir181d,2.0,1,1,2.0,2,2
Mir181c,1.0,1,2,1.0,0,0
Mir23a,1.0,9,0,3.0,2,2
Mir27a,2.0,0,2,0.0,2,0
Mir24-2,2.0,3,0,6.0,0,4
Mir3074-2,0.0,3,0,0.0,1,0
Zswim4,538.0,727,815,632.0,609,566
D8Ertd738e,391.0,326,330,338.0,182,223
Mri1,183.0,191,211,137.0,277,203
Ccdc130,297.0,308,314,282.0,223,279
Cacna1a,6538.0,5139,6048,7010.0,7279,6858
Ier2,175.0,148,161,125.0,68,88
Nacc1,3809.0,3303,4058,3861.0,2652,2530
Trmt1,626.0,597,681,586.0,628,757
Lyl1,33.0,18,28,16.0,25,35
Nfix,6615.0,6582,7820,6568.0,4812,4750
Dand5,201.0,111,129,137.0,115,86
Gadd45gip1,677.0,440,515,691.0,336,394
Rad23a,1200.0,896,1062,1108.0,631,576
Calr,8382.0,8999,10677,8762.0,8741,8161
Farsa,436.0,441,572,366.0,398,404
Mir7069,0.0,0,0,0.0,0,0
Syce2,22.0,35,44,21.0,30,20
Gcdh,351.0,422,460,326.0,382,429
Klf1,6.0,5,3,7.0,3,4
Dnase2a,66.0,86,101,47.0,55,67
Mast1,2567.0,1318,1507,2502.0,1364,1462
Gm38426,20.0,19,17,19.0,16,20
Rtbdn,23.0,17,14,13.0,33,31
Rnaseh2a,231.0,207,223,253.0,168,157
Prdx2,2913.0,2094,2419,2721.0,1391,1480
Junb,990.0,305,366,1006.0,250,289
Hook2,319.0,308,324,254.0,370,309
Best2,0.0,0,0,0.0,0,0
Asna1,1725.0,1087,1285,1595.0,721,727
2310036O22Rik,1910.0,1773,2021,1859.0,1148,1137
Tnpo2,2712.0,1618,1788,2596.0,1545,1355
A230103J11Rik,123.0,54,57,115.0,76,53
Fbxw9,239.0,240,270,213.0,248,244
Mir7070,0.0,0,0,0.0,0,0
Gm5741,1.0,0,0,1.0,0,0
Dhps,591.0,239,254,440.0,211,181
Wdr83,254.0,242,250,250.0,204,225
